study,source_file,object_ref,match_pattern,replacement,expected_matches,approval_status,source_pdf_page,verification_note,candidate_text,classification,review_priority,ledger_status,recommended_action,object_label,action
study_64,main_paper,#/texts/56,5\ l\ g,5 μg,1,approved,3,,5 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_64,main_paper,#/texts/75,0\.02\ l\ g,0.02 μg,1,approved,4,,0.02 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_64,main_paper,#/texts/75,10\ l\ g,10 μg,1,approved,4,,10 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_64,main_paper,#/texts/75,5\ l\ m,5 μm,1,approved,4,,5 l m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_64,main_paper,#/texts/91,0\.5\ l\ g,0.5 μg,2,approved,5,,0.5 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_68,main_paper,#/texts/46,1\ m\ g,1 μg,1,approved,3,,1 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_71,main_paper,#/texts/31,100\ m\ g,100 μg,1,approved,2,,100 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_71,main_paper,#/texts/34,1700\ m\ m,1700 μm,1,approved,2,,1700 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_71,main_paper,#/texts/36,0\.22\ m\ m,0.22 μm,1,approved,2,,0.22 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_71,main_paper,#/texts/41,0\.45\ m\ m,0.45 μm,2,approved,3,,0.45 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_71,main_paper,#/texts/43,12\ m\ m,12 μm,1,approved,3,,12 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_71,main_paper,#/texts/43,300\ m\ L,300 μL,1,approved,3,,300 m L,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_71,main_paper,#/texts/43,5\ m\ m,5 μm,1,approved,3,,5 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_71,main_paper,#/texts/60,1700\ m\ m,1700 μm,1,approved,3,,1700 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_71,main_paper,#/texts/60,212\ m\ m,212 μm,1,approved,3,,212 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_71,main_paper,#/texts/60,425\ m\ m,425 μm,1,approved,3,,425 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_71,main_paper,#/texts/60,63\ m\ m,63 μm,1,approved,3,,63 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_71,main_paper,#/texts/60,75\ m\ m,75 μm,1,approved,3,,75 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_71,main_paper,#/texts/60,850\ m\ m,850 μm,1,approved,3,,850 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_71,main_paper,#/texts/114,212\ m\ m,212 μm,1,approved,4,,212 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_71,main_paper,#/texts/114,75\ m\ m,75 μm,1,approved,4,,75 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_71,main_paper,#/texts/147,212\ m\ m,212 μm,1,approved,5,,212 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_74,main_paper,#/texts/33,1\.0\ l\ M,1.0 μM,1,approved,2,,1.0 l M,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_74,main_paper,#/texts/33,40\ l\ L,40 μL,2,approved,2,,40 l L,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_74,main_paper,#/tables/0,(?<![A-Za-z])l\ g\b,μg,1,approved,4,,l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",table,
study_74,main_paper,#/texts/347,7\ l\ M,7 μM,1,approved,6,,7 l M,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",list_item,
study_81,main_paper,#/texts/17,1\ l\ g,1 μg,1,approved,1,,1 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_81,main_paper,#/texts/21,1\ l\ g,1 μg,1,approved,1,,1 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_81,main_paper,#/texts/34,5000\ l\ g,5000 μg,1,approved,2,,5000 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_81,main_paper,#/texts/35,5000\ l\ g,5000 μg,1,approved,2,,5000 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_81,main_paper,#/texts/50,1\ l\ g,1 μg,2,approved,2,,1 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_81,main_paper,#/texts/50,2\.6\ l\ g,2.6 μg,1,approved,2,,2.6 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_81,main_paper,#/texts/50,28\.4\ l\ g,28.4 μg,1,approved,2,,28.4 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_81,main_paper,#/texts/51,0\.1\ l\ g,0.1 μg,1,approved,2,,0.1 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_81,main_paper,#/texts/51,1\ l\ g,1 μg,2,approved,2,,1 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_81,main_paper,#/texts/149,0\.9\ l\ g,0.9 μg,1,approved,3,,0.9 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_81,main_paper,#/texts/149,2\.01\ l\ g,2.01 μg,1,approved,3,,2.01 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_81,main_paper,#/texts/160,1\ l\ g,1 μg,2,approved,4,,1 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_81,main_paper,#/texts/160,79\.1\ l\ g,79.1 μg,1,approved,4,,79.1 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_81,main_paper,#/texts/160,81\.3\ l\ g,81.3 μg,1,approved,4,,81.3 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_81,main_paper,#/texts/162,5000\ l\ g,5000 μg,1,approved,4,,5000 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_81,main_paper,#/texts/169,1\ l\ g,1 μg,2,approved,4,,1 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_84,main_paper,#/tables/1,(?<![A-Za-z])l\ mmol\b,,1,not approve,7,Source PDF visually verified: Langmuir b unit is L mmol−1 rather than μmol.,l mmol,not_a_micro_unit,high,resolved,No action: source is not a micro-unit.,table,
study_87,supplementary_material,#/tables/4,(?<![A-Za-z])m\ g\b,,1,not approve,18,Source PDF visually verified: Table S4 uses mg L−1 and mg g−1 rather than μg.,m g,not_a_micro_unit,high,resolved,No action: source is not a micro-unit.,table,
study_92,main_paper,#/texts/101,1\ m\ g,1 μg,1,approved,3,,1 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_92,main_paper,#/texts/101,425850\ m\ m,425850 μm,1,approved,3,,425850 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_92,main_paper,#/texts/102,1\ m\ g,1 μg,1,approved,3,,1 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_92,main_paper,#/texts/75,1\ m\ g,1 μg,1,approved,3,,1 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_92,main_paper,#/texts/75,2\ m\ g,2 μg,1,approved,3,,2 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_92,main_paper,#/texts/76,2\ m\ g,2 μg,1,approved,3,,2 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_92,main_paper,#/texts/153,75\ m\ m,75 μm,1,approved,4,,75 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_94,main_paper,#/texts/46,10\ l\ L,10 μL,1,approved,3,,10 l L,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_94,main_paper,#/texts/46,5\ l\ m,5 μm,1,approved,3,,5 l m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_94,main_paper,#/texts/51,0\.08\ l\ g,0.08 μg,1,approved,4,,0.08 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_94,main_paper,#/texts/51,5\ m\ M,,1,not approve,4,Source PDF visually verified: mobile phase contains 5 mM ammonium acetate.,5 m M,not_a_micro_unit,critical,resolved,No action: source is valid mM.,text,
study_95,main_paper,#/texts/33,0\.01\ m\ g,0.01 μg,1,approved,2,,0.01 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_95,main_paper,#/texts/65,0\.45\ m\ m,0.45 μm,1,approved,3,,0.45 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_95,main_paper,#/texts/65,1\ m\ g,1 μg,1,approved,3,,1 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_95,main_paper,#/texts/73,000\ m\ g,000 μg,1,approved,3,,000 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_95,main_paper,#/texts/86,1\ m\ g,1 μg,1,approved,4,,1 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_95,main_paper,#/texts/94,1\ m\ g,1 μg,1,approved,4,,1 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_95,main_paper,#/texts/121,0\.58\ m\ g,0.58 μg,1,approved,5,,0.58 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_95,main_paper,#/texts/121,2\.2\ m\ g,2.2 μg,1,approved,5,,2.2 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_97,main_paper,#/texts/56,000\ m\ g,000 μg,1,approved,3,,000 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_97,main_paper,#/texts/56,500\ m\ g,500 μg,2,approved,3,,500 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_97,main_paper,#/texts/56,5000\ m\ g,5000 μg,1,approved,3,,5000 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_97,main_paper,#/texts/59,0\.1\ m\ g,0.1 μg,1,approved,3,,0.1 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_97,main_paper,#/texts/59,1\ m\ g,1 μg,1,approved,3,,1 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_97,main_paper,#/texts/62,1\ m\ g,1 μg,1,approved,3,,1 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_97,main_paper,#/texts/195,500\ m\ g,500 μg,1,approved,6,,500 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_97,main_paper,#/texts/195,5000\ m\ g,5000 μg,1,approved,6,,5000 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_97,main_paper,#/texts/196,500\ m\ g,500 μg,5,approved,6,,500 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_97,main_paper,#/texts/196,5000\ m\ g,5000 μg,5,approved,6,,5000 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_97,main_paper,#/texts/309,500\ m\ g,500 μg,2,approved,7,,500 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_97,main_paper,#/texts/309,5000\ m\ g,5000 μg,1,approved,7,,5000 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_97,main_paper,#/texts/310,500\ m\ g,500 μg,1,approved,7,,500 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_97,main_paper,#/texts/310,5000\ m\ g,5000 μg,1,approved,7,,5000 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_102,main_paper,#/texts/48,1\.7\ m\ m,1.7 μm,1,approved,2,,1.7 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_102,main_paper,#/texts/55,6\.85\ m\ g,6.85 μg,1,approved,2,,6.85 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_102,main_paper,#/tables/1,(?<![A-Za-z])m\ g\b,μg,3,approved,3,Source PDF visually verified: Table 2 adsorption units are μg m−2.,m g,approved_repair,high,resolved,No action: approved repair will apply.,table,
study_102,main_paper,#/tables/1,(?<![A-Za-z])m\ gm\b,μg m,1,approved,3,Source PDF visually verified: Table 2 adsorption units are μg m−2.,m gm,approved_repair,high,resolved,No action: approved repair will apply.,table,
study_102,main_paper,#/texts/103,3\.22\ m\ g,3.22 μg,1,approved,3,,3.22 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_102,main_paper,#/texts/111,2\ m\ g,2 μg,1,approved,3,,2 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_102,main_paper,#/texts/112,2\ m\ g,2 μg,2,approved,3,,2 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_102,main_paper,#/tables/3,(?<![A-Za-z])m\ gm\b,μg m,1,approved,5,Source PDF visually verified: Table 4 adsorption units are μg m−2.,m gm,approved_repair,high,resolved,No action: approved repair will apply.,table,
study_109,main_paper,#/texts/42,0\.22\ l\ m,0.22 μm,1,approved,3,,0.22 l m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_109,main_paper,#/texts/42,20\ l\ L,20 μL,1,approved,3,,20 l L,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_119,main_paper,#/tables/0,(?<![A-Za-z])m\ L\b,μL,1,not approve,3,,m L,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",table,
study_124,main_paper,#/texts/57,0\.22\ l\ m,0.22 μm,1,approved,2,,0.22 l m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_124,main_paper,#/texts/57,1\.9\ l\ m,1.9 μm,1,approved,2,,1.9 l m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_124,main_paper,#/texts/60,1\.5\ l\ L,1.5 μL,1,approved,3,,1.5 l L,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_128,main_paper,#/texts/57,1\ m\ m,1 μm,1,approved,3,,1 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_128,main_paper,#/texts/121,0\.6\ m\ g,0.6 μg,1,approved,6,,0.6 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_128,main_paper,#/tables/4,(?<![A-Za-z])m\ g\b,μg,4,approved,7,Source PDF visually verified: Table 5 exchange capacities are μg g−1.,m g,approved_repair,high,resolved,No action: approved repair will apply.,table,
study_128,main_paper,#/texts/125,1\.5\ m\ g,1.5 μg,1,approved,7,,1.5 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_128,main_paper,#/texts/125,3\.3\ m\ g,3.3 μg,1,approved,7,,3.3 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_144,main_paper,#/texts/71,75\ l\ m,75 μm,1,approved,3,,75 l m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_144,main_paper,#/texts/79,11\ l\ m,11 μm,1,approved,4,,11 l m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/48,40\ l\ g,40 μg,1,approved,2,,40 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/66,0\.45\ l\ m,0.45 μm,1,approved,3,,0.45 l m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/71,102\.9\ l\ g,102.9 μg,1,approved,3,,102.9 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/71,44\.1\ l\ g,44.1 μg,1,approved,3,,44.1 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/tables/0,(?<![A-Za-z])l\ g\b,μg,2,approved,4,,l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",table,
study_161,main_paper,#/texts/151,189\.5\ l\ g,189.5 μg,1,approved,5,,189.5 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/151,267\.2\ l\ g,267.2 μg,1,approved,5,,267.2 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/151,334\.1\ l\ g,334.1 μg,1,approved,5,,334.1 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/151,859\.8\ l\ g,859.8 μg,1,approved,5,,859.8 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/153,1059\.4\ l\ g,1059.4 μg,1,approved,5,,1059.4 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/153,345\.6\ l\ g,345.6 μg,1,approved,5,,345.6 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/tables/2,(?<![A-Za-z])l\ g\b,μg,2,approved,6,Source PDF visually verified: Table 3 q_m and b units use μg.,l g,approved_repair,high,resolved,No action: approved repair will apply.,table,
study_161,main_paper,#/texts/237,0\.6\ l\ g,0.6 μg,1,approved,6,,0.6 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/237,1\.1\ l\ mol,1.1 μmol,1,approved,6,,1.1 l mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/237,1\.2\ l\ g,1.2 μg,1,approved,6,,1.2 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/237,1\.3\ l\ g,1.3 μg,1,approved,6,,1.3 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/237,27\.1\ l\ g,27.1 μg,1,approved,6,,27.1 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/237,400\ l\ mol,400 μmol,1,approved,6,,400 l mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/237,9\.3\ l\ g,9.3 μg,1,approved,6,,9.3 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/325,106\.9\ l\ g,106.9 μg,1,approved,7,,106.9 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/325,143\.7\ l\ g,143.7 μg,1,approved,7,,143.7 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/325,310\.7\ l\ g,310.7 μg,1,approved,7,,310.7 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/325,4\.82\ l\ g,4.82 μg,1,approved,7,,4.82 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/325,419\.1\ l\ g,419.1 μg,1,approved,7,,419.1 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_161,main_paper,#/texts/325,6\.67\ l\ g,6.67 μg,1,approved,7,,6.67 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_174,main_paper,#/texts/60,0\.2\s+l\s+m\b,0.2 μm,1,approved,4,Source PDF visually verified: nylon syringe filter has 0.2 μm pores.,0.2 l m,approved_repair,resolved,already_approved,No action: existing approved decision will apply.,text,
study_174,main_paper,#/texts/60,450\s+l\s+L\b,450 μL,1,approved,4,Source PDF visually verified: methanol volume is 450 μL.,450 l L,approved_repair,resolved,already_approved,No action: existing approved decision will apply.,text,
study_174,main_paper,#/texts/60,\b50\s+l\s+L\b,50 μL,1,approved,4,Source PDF visually verified: injection-standard volume is 50 μL.,50 l L,approved_repair,resolved,already_approved,No action: existing approved decision will apply.,text,
study_174,main_paper,#/texts/61,1\.8\s+l\s+m\b,1.8 μm,1,approved,4,Source PDF visually verified: HSS T3 column particle size is 1.8 μm.,1.8 l m,approved_repair,resolved,already_approved,No action: existing approved decision will apply.,text,
study_174,main_paper,#/texts/61,100\s+l\s+L\b,100 μL,1,approved,4,Source PDF visually verified: injection-loop volume is 100 μL.,100 l L,approved_repair,resolved,already_approved,No action: existing approved decision will apply.,text,
study_174,main_paper,#/tables/1,(?<![A-Za-z])l\ g\b,μg,14,approved,6,,l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",table,
study_174,supplementary_material,#/texts/10,500\s+l\s+g\b,500 μg,1,approved,1,Source PDF visually verified: initial PFAS concentration is 500 μg/L.,500 l g,approved_repair,resolved,already_approved,No action: existing approved decision will apply.,text,
study_179,main_paper,#/texts/14,5\ l\ M,5 μM,1,approved,1,,5 l M,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_179,main_paper,#/texts/63,10\ l\ L,10 μL,1,approved,3,,10 l L,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_179,main_paper,#/texts/63,25\ l\ L,25 μL,1,approved,3,,25 l L,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_179,main_paper,#/texts/63,5\ l\ M,5 μM,1,approved,3,,5 l M,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_186,main_paper,#/texts/128,1000\ m\ m,1000 μm,1,approved,5,,1000 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_213,main_paper,#/texts/30,297\ m\ m,297 μm,1,approved,2,,297 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_213,main_paper,#/texts/30,595\ m\ m,595 μm,1,approved,2,,595 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_213,main_paper,#/texts/33,297\ m\ m,297 μm,1,approved,2,,297 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_213,main_paper,#/texts/34,595\ m\ m,595 μm,1,approved,2,,595 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_213,main_paper,#/texts/38,13\ m\ g,13 μg,1,approved,2,,13 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_213,main_paper,#/texts/38,595\ m\ m,595 μm,1,approved,2,,595 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
